Genus,KW_H,KW_p,mean_NC,se_NC,mean_PC,se_PC,mean_G25,se_G25,mean_G50,se_G50,KW_BH_p
Enterococcus,9.56421052631579,0.02265798869225572,0.015428953879888727,0.0015287809345955632,0.01968276569299341,0.005165233258514989,0.008022368619718863,0.002446480336151935,0.03136592493572804,0.006694123498079113,0.3753264984558826
Lactobacillus,7.9947368421052545,0.04612060462137533,0.8088063441165005,0.05619132615253273,0.42992857044417276,0.09031452312560391,0.8012501284048636,0.07200582980448418,0.7666246269651227,0.046004881209601625,0.3753264984558826
Turicibacter,7.498043478260878,0.05760874469928435,0.0,0.0,0.01402636403865378,0.0060977231041899485,0.0014127726803184056,0.001223497030928371,0.0023331432609207214,0.0010735953406611804,0.3753264984558826
Rothia,7.492105263157896,0.057761648879300805,0.013918463167050345,0.003879797938541597,0.010377616770532727,0.0035370347458753442,0.003769389520687497,0.0015873891381060305,0.03417345255329086,0.015223732078864394,0.3753264984558826
Clostridium_sensu_stricto_1,7.216470588235301,0.06530900308749663,0.0010856856522465342,0.0009402313553697764,0.006786978752333954,0.0025529934806412568,0.0006611184568717431,0.0005725453785616962,0.000809215100171039,0.000496460970567459,0.3753264984558826
Clostridia_UCG-014,6.9826153846154,0.07245394835368131,0.0,0.0,0.004850795355232758,0.0017429792026404935,0.0007777864198491094,0.000673582798307878,0.0019976337964833697,0.0013389240365362653,0.3753264984558826
Streptococcus,6.9050043898156375,0.07498803758739911,0.007008871331293231,0.0020991110169366776,0.013187266305658136,0.00250569190422377,0.003092909737845804,0.00225198149423599,0.007462787037290306,0.001686876796324844,0.3753264984558826
Unclassified,6.7247368421052585,0.08120855865484307,0.007051764727639891,0.0034434791581531097,0.05405989305182336,0.015601349099190143,0.01693803664627473,0.005950031358064474,0.021555224489760823,0.007955116157004206,0.3753264984558826
Romboutsia,6.606964285714291,0.08553821477045963,0.0013147021260611525,0.0011385654395783696,0.06867643973957346,0.03657434215080449,0.019791584101395254,0.014410076678088513,0.017375110479331747,0.005080113909670376,0.3753264984558826
Christensenellaceae_R-7_group,6.229538461538469,0.10096133615239904,0.00024415896626849975,0.00021144786735026862,0.0047909541980667705,0.0017746040407658952,0.000759555204472261,0.0006577941026496617,0.0003786956676526468,0.00017138539899037744,0.3753264984558826
Butyricicoccus,5.9385245901639445,0.11463974548986508,0.0,0.0,0.0023404434436667338,0.0016435487598367717,0.002237957897060428,0.001502319216535059,0.0003206412825651303,0.000292704105547183,0.3753264984558826
Gardnerella,5.80355113636364,0.12156902596506543,0.0023224256011094508,0.001443879895810513,0.0014796971531803277,0.0005828748378349152,0.0,0.0,0.00232636855041932,0.0008636653946624116,0.3753264984558826
Gallibacterium,5.752769230769241,0.12427802958471804,0.0025715621590731985,0.0022270381571681498,0.004210598088455938,0.002229265035966589,0.0,0.0,0.005363975567887806,0.0024037705924371895,0.3753264984558826
Dietzia,5.337058823529417,0.14871569487575578,0.00025054284282612327,0.00021697646662379458,0.0039406149625193,0.0018831491076459442,0.00015555728396982187,0.00013471655966157555,0.002139836201622849,0.0012699535231331192,0.3753264984558826
Propioniciclava,5.307435597189702,0.15062063348742655,0.0013721293758072084,0.0004914598173980299,0.002516401404458618,0.0012817932180877512,0.0,0.0,0.0010162601626016261,0.0009277143589179643,0.3753264984558826
Aeriscardovia,5.291197183098592,0.15167461348690126,0.07398210215630559,0.05346846338743719,0.015613308904579033,0.009108654004024469,0.001881363925897592,0.0012625351275579203,0.01148009662620282,0.005197674100395285,0.3753264984558826
Staphylococcus,5.238410886742768,0.15514911139437285,0.008705286304015873,0.001651470863962947,0.08956220419337575,0.05453631456835536,0.01981056371306446,0.015600595692454457,0.02102151711065055,0.012998714483771628,0.3753264984558826
Muribaculaceae,5.03804347826088,0.16903251582226697,0.002328900909022613,0.002016887350110255,0.011050362437631963,0.006252413459699543,0.029810550802020094,0.009149949759127808,0.005441476774252485,0.0033776214685581948,0.3753264984558826
Sedimentibacter,5.037997658079628,0.16903582031324482,0.0013362284950726574,0.001157207821993571,0.0024594041842721905,0.0007763619710010112,0.0,0.0,0.0008687937340177309,0.0007223355819109473,0.3753264984558826
Tissierella,4.85025773195876,0.18309617494270075,0.00020878570235510272,0.00018081372218649544,0.003559627013948913,0.0017149891481304208,0.0,0.0,0.0002128151579564709,0.00012879646868436197,0.3753264984558826
Subdoligranulum,4.8475182481751835,0.18330922283671877,0.0,0.0,0.005828362617872132,0.0036694828945890226,0.0010785683903506108,0.0009340676257625197,4.0080160320641287e-05,3.6588013193397874e-05,0.3753264984558826
Bacteroides,4.792173913043478,0.1876632492279413,0.00013147021260611524,0.00011385654395783695,0.003907656517427699,0.0016410040399340712,0.004030235731524303,0.0025057376886811486,0.000895123580494322,0.0008171322946525525,0.3753264984558826
TM7a,3.878478260869568,0.2748888082091144,0.0013334835850048832,0.0011548306601437748,0.003112747660877163,0.001629691081967985,0.0006228352676672541,0.0005393911641727227,0.0005101612475152067,0.0004079275435911341,0.5258742417913492
Deinococcus,3.6064988290398174,0.30720998323442006,0.001126887536623845,0.0009759132339243167,0.0034281687668875406,0.001401198568106724,0.0022288399262851114,0.0014425973400303796,0.00024069319640564828,0.00021972182184899156,0.560619828663545
[Ruminococcus]_torques_group,3.484598540145991,0.3227651390268553,0.0,0.0,0.00269058570573144,0.001053378907069173,0.0014583459925867413,0.0012629646770873505,0.0014650791884574016,0.0013374282000824687,0.560619828663545
Paenibacillus,3.3321238938053104,0.34319656455202463,0.00018249356447786074,5.3921351364362906e-05,0.005131645793999678,0.002383434349535092,0.002675760497034524,0.001225756065819917,0.004035267532152539,0.001345238562080307,0.560619828663545
Brachybacterium,3.326170960187357,0.344016713043539,0.00284401743013259,0.0015506994673350019,0.004659257592081736,0.0024238190561968564,0.0004887762490948588,0.00042329264848261843,0.0006953359007274283,0.0006347519297859757,0.560619828663545
Chloroplast,3.1636956521739124,0.3670685993659034,0.0,0.0,0.0013920045330789639,0.0010783015596773724,0.0,0.0,0.002404809619238477,0.0021952807916038723,0.5768220847178482
Corynebacterium,3.058947368421059,0.3826256457043732,0.010151791771465142,0.0030759463533829284,0.03312174378806559,0.013364227148434974,0.008913639615636603,0.005589314298137224,0.00634458889467391,0.003251199091078856,0.5805354624480145
Peptococcus,2.588275862068975,0.4595486479874745,6.49384383604343e-05,5.6238337302226e-05,0.0034777238574943206,0.0020806983850918284,0.0,0.0,0.0005210420841683367,0.00047564417151417233,0.6401261435711599
Lachnospiraceae_NK4A136_group,2.5735294117646994,0.4621490922824346,0.001352265043948614,0.0011710958807091799,0.0023447272369318674,0.001382356886731099,0.005308369853738913,0.001683781434805002,0.002431852490880487,0.001503013258664555,0.6401261435711599
Domibacillus,2.4867681498829075,0.4776871218099613,0.0006573510630305762,0.0005692827197891848,0.002562993904818793,0.0013006287055714774,0.00010633772862611655,9.209117437095265e-05,0.0008942120394593105,0.0006944865565378244,0.6401261435711599
Kocuria,2.4038461538461577,0.4929190639634481,0.001204040899630576,0.0006388983375683249,0.007303501293567757,0.0027115677217153114,0.0013222369137434861,0.0011450907571233925,0.0012000333249474787,0.0006627420616312268,0.6401261435711599
Blautia,2.3945876288659833,0.494642929123169,0.00035684771993088426,0.00030903919074270033,0.004188291309303696,0.0029589514893305986,0.0026699916212973283,0.001335772417991963,7.402472425790214e-05,6.757501881525479e-05,0.6401261435711599
Veillonella,2.2765625000000043,0.5170257735296759,0.002416308079536607,0.001492641996573945,0.00032803992409585856,0.0002562287832290487,0.0019396028167976856,0.000984319151166981,0.0013982296033249206,0.0005090990303314492,0.6499752581515926
uncultured,2.186017699115051,0.5347076969635027,0.0030167163280811213,0.0014471851332619223,0.018097988968068187,0.007424752967269426,0.007215257027157686,0.0035663617418345995,0.0030765548941688466,0.0010947425303538113,0.6535316296220589
Facklamia,1.9767153284671517,0.5772535638516039,0.0005070993914807302,0.0004391609552659425,0.002206326082981982,0.0018285497440628732,0.0,0.0,0.0035720069006631976,0.0026213085965177264,0.6864636975532586
Leucobacter,1.5744827586207042,0.6651894225622543,0.0012959206671174217,0.0011223002190129641,0.0007329766180458844,0.0006555942175473986,0.0,0.0,0.0032547895460033837,0.0024159797194796087,0.7702193313878735
JG30-KF-CM45,1.4881538461538544,0.6850071030569703,0.0009878068702373613,0.000520999663612973,0.005269791401400954,0.0028967399852671705,0.001400015555728397,0.0012124490369541804,0.0011821382548013793,0.0009581784289277259,0.7728285265258127
Saccharimonadales,0.739812646370027,0.8638020227354721,0.0021035234016978438,0.0018217047033253911,0.0011107021556725446,0.0009450404286212881,0.0011849061189767272,0.0010261588001334724,0.001992380926157713,0.0009836691827256033,0.9501822250090194
Paracoccus,0.33130434782609425,0.9540373614262696,0.0013334835850048832,0.0011548306601437748,0.004152008138976431,0.002969876317779263,0.0011253586923686647,0.0005952530914810364,0.001525441227525642,0.0010418611133160174,0.9721353182103459
Jeotgalicoccus,0.3208762886597904,0.9560555685730243,0.000467556756195127,0.00040491602857602724,0.0039103172263796945,0.0033360120785324264,0.0004472271914132379,0.00038731010902702984,0.0003206744132032417,0.00021707925464073958,0.9721353182103459
Lysinibacillus,0.306958762886605,0.9587144560395896,0.00041757140471020544,0.0003616274443729909,0.0025635463582263317,0.002233751532956818,0.0004472271914132379,0.00038731010902702984,0.0005583638309179005,0.00034099948097312524,0.9721353182103459
Lactococcus,0.23275862068966177,0.9721353182103459,0.003904292634040421,0.0033812166048874655,0.00037852375734634923,0.0003385619410100289,0.00031111456793964375,0.0002694331193231511,0.0002781795927450762,0.00025394206330679785,0.9721353182103459
