"Feature","Coefficient","beta","se","pvalue","qvalue","diff_abn","model"
"Romboutsia","GlyDosePct",5.65783293416727,1.20966122178564,2.90812177469813e-06,0.000276271568596323,TRUE,"GlyDosePct_linear"
"Turicibacter","GlyDosePct",2.6189923412388,1.30344299480482,0.0445066019688547,0.861698267935178,FALSE,"GlyDosePct_linear"
"Propioniciclava","GlyDosePct",-2.58810422684262,1.34555030834416,0.0544230485011691,0.861698267935178,FALSE,"GlyDosePct_linear"
"Clostridia_UCG-014","GlyDosePct",2.33730608564854,1.10501195856317,0.0344140775574196,0.861698267935178,FALSE,"GlyDosePct_linear"
"Lachnospiraceae_UCG-001","GlyDosePct",-1.98218537477048,1.01722063824079,0.0513397768851621,0.861698267935178,FALSE,"GlyDosePct_linear"
"Tsukamurella","GlyDosePct",-1.54707689609379,0.707920162225313,0.0288607547260623,0.861698267935178,FALSE,"GlyDosePct_linear"
"Gallibacterium","GlyDosePct",3.12723989235439,2.10098561959967,0.136628765851693,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.40","GlyDosePct",2.413588363583,1.53296358085097,0.115381364440251,0.982898887448681,FALSE,"GlyDosePct_linear"
"Brachybacterium","GlyDosePct",-2.37295957376369,1.53808838289825,0.122879811819495,0.982898887448681,FALSE,"GlyDosePct_linear"
"Paenibacillus","GlyDosePct",2.28774256072342,1.55157626328904,0.140356839419351,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.26","GlyDosePct",2.20673272971234,1.4063231661276,0.116612870039877,0.982898887448681,FALSE,"GlyDosePct_linear"
"Corynebacterium","GlyDosePct",-1.98030780757724,1.36035461903416,0.145467521661712,0.982898887448681,FALSE,"GlyDosePct_linear"
"Dietzia","GlyDosePct",1.92378760257537,1.45692810405023,0.186687822382658,0.982898887448681,FALSE,"GlyDosePct_linear"
"Lactococcus","GlyDosePct",-1.70714532224802,1.95615081017712,0.382823130964742,0.982898887448681,FALSE,"GlyDosePct_linear"
"Clostridium_sensu_stricto_13","GlyDosePct",1.66745965629399,1.2296271935653,0.175077127793423,0.982898887448681,FALSE,"GlyDosePct_linear"
"Deinococcus","GlyDosePct",-1.49844263349224,1.22342341286418,0.220652544944193,0.982898887448681,FALSE,"GlyDosePct_linear"
"Alkaliphilus","GlyDosePct",-1.49804582039381,1.37456983810358,0.275788557521382,0.982898887448681,FALSE,"GlyDosePct_linear"
"Macrococcus","GlyDosePct",1.4134419301823,1.11412916984028,0.204565295480703,0.982898887448681,FALSE,"GlyDosePct_linear"
"Devosia","GlyDosePct",-1.40204303361995,1.1464932852318,0.221368656313997,0.982898887448681,FALSE,"GlyDosePct_linear"
"Clostridium_sensu_stricto_16","GlyDosePct",1.30351576605941,1.05135761306597,0.215034388854396,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.31","GlyDosePct",-1.25441407506934,0.787510191255352,0.111185734321267,0.982898887448681,FALSE,"GlyDosePct_linear"
"Blautia","GlyDosePct",-1.24506229761539,1.12323500033638,0.267662732520424,0.982898887448681,FALSE,"GlyDosePct_linear"
"uncultured.21","GlyDosePct",-1.22752841676959,1.03959147561512,0.237690286308652,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.50","GlyDosePct",1.20965953179795,1.01658172638822,0.234074509983739,0.982898887448681,FALSE,"GlyDosePct_linear"
"Clostridium_sensu_stricto_8","GlyDosePct",-1.20687312041536,1.4398131671799,0.401909914758713,0.982898887448681,FALSE,"GlyDosePct_linear"
"Rothia","GlyDosePct",1.18705149717962,1.280246858553,0.35382002268383,0.982898887448681,FALSE,"GlyDosePct_linear"
"Bosea","GlyDosePct",-1.16942873261859,1.18994238218862,0.325725176872255,0.982898887448681,FALSE,"GlyDosePct_linear"
"CHKCI001","GlyDosePct",1.16578765302879,1.13025169221428,0.302334179709593,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.32","GlyDosePct",1.13435729209674,1.71602202514412,0.508587374557121,0.982898887448681,FALSE,"GlyDosePct_linear"
"Aerococcus","GlyDosePct",1.07542295139925,1.20229509228596,0.371067778323624,0.982898887448681,FALSE,"GlyDosePct_linear"
"Alistipes","GlyDosePct",1.0658190523029,1.33127863203592,0.423364390660303,0.982898887448681,FALSE,"GlyDosePct_linear"
"Brevibacterium","GlyDosePct",1.05928454741326,1.03786872145351,0.307427672459366,0.982898887448681,FALSE,"GlyDosePct_linear"
"Desulfovibrio","GlyDosePct",-1.01499560430394,1.03951666830468,0.328860787451029,0.982898887448681,FALSE,"GlyDosePct_linear"
"Hyphomicrobium","GlyDosePct",-0.988307903771288,0.96776898328043,0.307148817655532,0.982898887448681,FALSE,"GlyDosePct_linear"
"uncultured.33","GlyDosePct",-0.958314801733401,1.01551490890519,0.345336372223743,0.982898887448681,FALSE,"GlyDosePct_linear"
"Knoellia","GlyDosePct",-0.940692261441399,1.51583734263887,0.534878640517811,0.982898887448681,FALSE,"GlyDosePct_linear"
"Enterococcus","GlyDosePct",0.916017434443913,0.837933384431818,0.27431193848787,0.982898887448681,FALSE,"GlyDosePct_linear"
"Clostridium_sensu_stricto_3","GlyDosePct",-0.90550644566467,1.17104219837915,0.439375417725263,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.41","GlyDosePct",0.856890624106459,0.974591790547046,0.379276423358117,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.42","GlyDosePct",-0.835179690273768,1.25398447342486,0.505397832008277,0.982898887448681,FALSE,"GlyDosePct_linear"
"uncultured.29","GlyDosePct",0.813838598881686,0.989267638906929,0.410696950364298,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.38","GlyDosePct",0.804177062975073,0.647655014479525,0.214356484459577,0.982898887448681,FALSE,"GlyDosePct_linear"
"Shinella","GlyDosePct",-0.796377545182933,1.49795428239278,0.594972982596133,0.982898887448681,FALSE,"GlyDosePct_linear"
"Gardnerella","GlyDosePct",0.724969923381112,1.57859009973181,0.646053547977898,0.982898887448681,FALSE,"GlyDosePct_linear"
"Veillonella","GlyDosePct",-0.698830387969256,1.56639841403918,0.655497319610718,0.982898887448681,FALSE,"GlyDosePct_linear"
"Streptococcus","GlyDosePct",0.698085200258024,1.19289348875116,0.558411029572991,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.20","GlyDosePct",-0.691254270385186,0.711700737765128,0.331413357789594,0.982898887448681,FALSE,"GlyDosePct_linear"
"Oscillibacter","GlyDosePct",-0.68158934127466,1.01171488613759,0.500503933331384,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.39","GlyDosePct",0.679105710702047,0.937824878520211,0.468986856883166,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.30","GlyDosePct",-0.671649667446197,1.1800061806602,0.569226085219924,0.982898887448681,FALSE,"GlyDosePct_linear"
"Facklamia","GlyDosePct",0.670757808870439,1.55264309572378,0.665733927469569,0.982898887448681,FALSE,"GlyDosePct_linear"
"Staphylococcus","GlyDosePct",-0.658386419532549,1.3617812435701,0.628758906485,0.982898887448681,FALSE,"GlyDosePct_linear"
"JG30-KF-CM45","GlyDosePct",-0.658185019613637,1.64971580014483,0.689916244346724,0.982898887448681,FALSE,"GlyDosePct_linear"
"Lachnospiraceae_NK4A136_group","GlyDosePct",0.652748228357054,1.58918897057801,0.681261000891216,0.982898887448681,FALSE,"GlyDosePct_linear"
"Bacteroides","GlyDosePct",-0.628585506710751,1.35452930779212,0.642603364608428,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.5","GlyDosePct",-0.627051109889985,1.30409421811694,0.630635426107732,0.982898887448681,FALSE,"GlyDosePct_linear"
"TM7a","GlyDosePct",-0.618477271778388,1.30691942135903,0.636047025823757,0.982898887448681,FALSE,"GlyDosePct_linear"
"Acetoanaerobium","GlyDosePct",-0.61401164825831,0.939789593482829,0.513530584609416,0.982898887448681,FALSE,"GlyDosePct_linear"
"Mitochondria","GlyDosePct",0.607458619895328,0.888620039656958,0.494229234161109,0.982898887448681,FALSE,"GlyDosePct_linear"
"Saccharimonadales","GlyDosePct",0.587347785514428,1.66665936009848,0.724530641356304,0.982898887448681,FALSE,"GlyDosePct_linear"
"Nocardioides","GlyDosePct",-0.527764328787763,1.40717282632057,0.707621082773046,0.982898887448681,FALSE,"GlyDosePct_linear"
"Kocuria","GlyDosePct",-0.496216766538827,1.76594860084369,0.778716823650477,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.10","GlyDosePct",-0.46017443051939,0.861716690888066,0.593327308918576,0.982898887448681,FALSE,"GlyDosePct_linear"
"Leucobacter","GlyDosePct",0.457493153050807,1.74250353260813,0.792897950945887,0.982898887448681,FALSE,"GlyDosePct_linear"
"[Ruminococcus]_torques_group","GlyDosePct",0.436282925111394,1.27321449567166,0.731852339953036,0.982898887448681,FALSE,"GlyDosePct_linear"
"Jeotgalicoccus","GlyDosePct",-0.435909402336962,1.55385248070326,0.779067374769456,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.14","GlyDosePct",-0.417864889704568,1.06124920961404,0.69376700470057,0.982898887448681,FALSE,"GlyDosePct_linear"
"uncultured.31","GlyDosePct",0.387766398737177,1.21257277770904,0.749128935347854,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.1","GlyDosePct",-0.382380964810748,1.32809925138766,0.773411073198663,0.982898887448681,FALSE,"GlyDosePct_linear"
"Bacillus","GlyDosePct",0.376672710892899,1.37571073722122,0.784236585657952,0.982898887448681,FALSE,"GlyDosePct_linear"
"Muribaculaceae","GlyDosePct",-0.345592343330777,2.24906102919142,0.877877255569665,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.33","GlyDosePct",-0.331473888912147,1.18067842561085,0.778903181797625,0.982898887448681,FALSE,"GlyDosePct_linear"
"Pseudomonas","GlyDosePct",-0.3268354665441,0.906346833629951,0.71839288127362,0.982898887448681,FALSE,"GlyDosePct_linear"
"Subdoligranulum","GlyDosePct",-0.325059020574043,0.711588967239227,0.64780957270971,0.982898887448681,FALSE,"GlyDosePct_linear"
"Christensenellaceae_R-7_group","GlyDosePct",0.310487570142979,1.0424657659267,0.765825601096611,0.982898887448681,FALSE,"GlyDosePct_linear"
"Paracoccus","GlyDosePct",0.306472520921568,1.45162714486525,0.832790947554012,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.28","GlyDosePct",0.26333956135096,1.68532184853116,0.875832214353421,0.982898887448681,FALSE,"GlyDosePct_linear"
"Clostridium_sensu_stricto_1","GlyDosePct",0.237320360595594,1.73474755120149,0.891185741605897,0.982898887448681,FALSE,"GlyDosePct_linear"
"Lactobacillus","GlyDosePct",-0.22825565734964,0.819285323697974,0.780549221340963,0.982898887448681,FALSE,"GlyDosePct_linear"
"uncultured.25","GlyDosePct",0.224580699705227,0.814946024336311,0.782872676359438,0.982898887448681,FALSE,"GlyDosePct_linear"
"Sedimentibacter","GlyDosePct",-0.212059121051994,1.88598042870536,0.910474758899831,0.982898887448681,FALSE,"GlyDosePct_linear"
"Gemmata","GlyDosePct",-0.191929560865887,1.14163469892664,0.866490298338465,0.982898887448681,FALSE,"GlyDosePct_linear"
"Megamonas","GlyDosePct",-0.184446327360283,0.951348605730693,0.846270782804577,0.982898887448681,FALSE,"GlyDosePct_linear"
"Peptococcus","GlyDosePct",-0.161389177559936,1.21224536297881,0.894088643667926,0.982898887448681,FALSE,"GlyDosePct_linear"
"Weissella","GlyDosePct",-0.14042210394995,0.83001526009256,0.865654944866414,0.982898887448681,FALSE,"GlyDosePct_linear"
"Tissierella","GlyDosePct",-0.135866737143524,1.18563164970365,0.908766625557092,0.982898887448681,FALSE,"GlyDosePct_linear"
"UCG-010","GlyDosePct",-0.129107990757389,0.98193270699261,0.895392804773323,0.982898887448681,FALSE,"GlyDosePct_linear"
"Unassigned.25","GlyDosePct",-0.077337582898178,0.661924818242364,0.906988896045918,0.982898887448681,FALSE,"GlyDosePct_linear"
"Domibacillus","GlyDosePct",-0.105124699415115,1.27758698453448,0.934421044241557,0.993040721408771,FALSE,"GlyDosePct_linear"
"Lysinibacillus","GlyDosePct",0.0864786869520848,1.51328213813241,0.954428543048814,0.993040721408771,FALSE,"GlyDosePct_linear"
"Aeriscardovia","GlyDosePct",0.0486310796722045,2.22824216114379,0.982587661183416,0.993040721408771,FALSE,"GlyDosePct_linear"
"UCG-005","GlyDosePct",-0.0412305789444682,0.76063845807073,0.956771657669205,0.993040721408771,FALSE,"GlyDosePct_linear"
"Salinicoccus","GlyDosePct",-0.0386358995658722,0.893035974692297,0.965491453115998,0.993040721408771,FALSE,"GlyDosePct_linear"
"Peredibacter","GlyDosePct",0.0166642916353058,0.647490240000486,0.979467314744218,0.993040721408771,FALSE,"GlyDosePct_linear"
"Butyricicoccus","GlyDosePct",-0.00795698481282187,1.08466374522423,0.994146851116203,0.994146851116203,FALSE,"GlyDosePct_linear"
