taxon_level6_or_lowest	P1-1-JC-G50	P1-1-JC-NC	P1-2-JC-G25	P1-2-JC-G50	P1-2-JC-PC	P1-3-JC-G25	P1-3-JC-G50	P1-3-JC-NC	P1-3-JC-PC	P1-4-JC-G25	P1-4-JC-NC	P1-4-JC-PC	P1-5-JC-G50	P1-5-JC-PC	P1-6-JC-G50	P1-7-JC-G25	P1-7-JC-G50	P1-7-JC-NC	P1-7-JC-PC
d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus	0	0	0	0	25	0	0	0	0	0	0	0	11	0	0	0	0	0	131
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0	0	0	36	0	0	0	0	0	0	0	110	19	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured	0	0	0	0	5	29	0	0	0	33	0	54	0	0	0	39	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0	0	0	8	11	20	0	0	0	0	0	0	0	49	0	0	0	48	16
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Desemzia	0	0	0	0	0	0	0	0	116	0	0	12	0	24	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Macrococcus	0	0	0	0	0	0	21	0	55	0	0	0	73	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	103	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_13	0	0	0	49	0	0	0	0	4	0	0	0	86	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Sporomusaceae	0	0	0	50	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata	0	0	0	0	0	0	0	0	0	0	0	0	0	68	60	0	0	8	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter	0	0	0	0	0	100	0	0	0	0	0	0	0	0	25	0	0	10	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__UCG-004	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	27
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Afipia	0	0	0	0	0	0	0	0	0	58	0	70	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0	0	0	0	0	80	0	0	0	0	0	15	0	0	6	25	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	61	0	0	51
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Salinicoccus	0	0	0	11	0	0	0	0	44	67	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	0	0	0	0	0	0	55	0	50	9	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0	0	0	0	0	34	0	0	0	0	0	79	0	0	0	0	0	0	0
d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Candidatus_Cloacimonas	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	67
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	37	0	0	0	0	13	0	0	9	0	11	0	0	32	0	0	0	0	10
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus	0	0	0	0	0	0	0	69	42	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured	0	0	0	0	0	33	0	0	0	0	0	0	0	77	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured	0	0	0	0	0	36	0	0	0	0	0	31	29	10	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Nosocomiicoccus	0	0	0	0	0	0	0	0	50	0	0	56	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured	0	0	0	0	0	0	0	0	0	0	0	33	0	72	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella	0	0	0	0	0	0	58	0	0	0	0	47	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001	0	0	0	0	0	0	0	0	0	0	0	48	0	25	0	0	0	30	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium	0	0	0	0	0	0	0	0	0	35	0	0	0	67	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Peptoniphilus	0	0	0	0	0	53	0	0	0	0	0	48	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	4	0	0	0	0	0	0	2	0	0	0	0	0	94	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	78	6	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Anaerovorax	0	0	0	9	0	0	0	0	0	0	0	69	0	20	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Knoellia	15	28	0	0	0	0	0	0	0	0	0	29	0	22	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0	0	0	0	0	0	28	0	66	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_UCG-001; g__Bacteroidales_UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	70
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	45	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	0	0	0	0	0	0	0	0	0	0	0	12	0	78	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__uncultured	9	0	0	0	7	0	0	0	0	0	0	19	0	37	15	0	0	0	0
d__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Desulfotomaculales; f__Desulfotomaculales; g__Desulfotomaculum	0	0	0	0	0	0	0	0	0	0	0	20	0	67	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_3	0	0	0	0	0	0	0	16	0	0	0	0	8	0	0	0	0	0	61
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	29	36	0	0	0	17	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Candidatus_Soleaferrea	0	0	0	26	0	0	0	0	0	0	0	34	0	13	0	0	0	0	0
d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	8	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Gracilibacteraceae	0	0	0	9	0	0	0	14	0	0	0	0	0	38	0	0	0	0	7
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	57	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__UCG-010; g__UCG-010	0	0	0	0	0	0	0	2	0	0	0	0	0	49	17	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_16	0	0	0	37	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter	0	0	0	0	0	0	0	0	0	0	0	8	0	55	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia	0	0	0	20	2	0	0	0	0	0	0	33	0	0	8	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	23	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Alkaliphilus	32	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	17	0
d__Bacteria; p__Firmicutes	4	0	0	0	0	0	0	0	0	0	0	35	0	2	18	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales	0	0	0	0	0	0	0	0	0	0	0	47	0	11	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	8	49	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Tsukamurellaceae; g__Tsukamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	12	0
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	48
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	0	0	0	4	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales	0	0	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	27
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia	0	0	0	0	0	0	0	0	0	0	0	37	0	12	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	19
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermacoccaceae; g__Dermacoccaceae	0	0	0	0	0	0	0	0	7	0	0	32	8	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	0	0	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0
d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1)	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	8
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Tessaracoccus	0	0	0	20	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__Fastidiosipila	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae	0	0	0	0	0	0	0	0	18	0	0	26	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	5
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	29	7	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalitalea	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	23
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__WD260; f__WD260; g__WD260	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	12	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Phreatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	3
d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	18	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Proteiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	4
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Herpetosiphonaceae; g__Herpetosiphon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0
